FSC-A,SSC-A,Alexa_488-A,PI-A
262143,260681,22071,549.017
128622,37523.3,4177.25,69.3363
98780.9,21710.9,985.935,49.1522
184144,80096.6,5762.65,215.251
262143,205810,31170.6,15114.9
130393,46128.4,5072.04,178.738
102212,28028.4,2664.27,63.7188
262143,250588,41596,689.535
164041,52375.4,2189.68,101.388
5658.4,12758.7,20.7899,4.90145
113682,61657.5,6948.08,91.503
115558,50441.6,3517.48,136.717
151697,52062.9,1423.21,118.599
158358,45049.8,2261.55,60.9927
173327,59553.4,2582.35,124.822
262143,109053,7193.7,188.871
202575,169748,85605.1,7199.29
53977.4,56068.8,58048.3,5275.56
151712,46708.3,4819.53,110.31
106176,45508.6,3092.18,80.4885
140027,54103.1,6268.76,75.0912
63287,61504.5,71587.7,5980.18
174314,118570,14566.4,290.287
129570,43819.5,9827.27,200.519
111229,94864.9,30146,290.617
122172,43537.6,4809.62,49.8406
262143,262143,22066.8,2319.32
213135,70875.7,4424.25,139.636
193099,100484,2382.57,180.775
136804,76569.4,3108.84,153.294
177199,113398,52417,4052.73
262143,188277,5952.23,620.281
262143,262143,28334,2530.63
51291.7,77187.9,30890.3,1439.37
53921.1,27308.9,28997.4,5125.98
221015,119842,6025.89,389.087
36447,262143,2087.38,751.959
5613.52,3527.16,5008.01,87.455
127301,56473.1,3137.34,1.29411
115548,29443.5,1862.69,33.0159
262143,262143,60586.6,574.159
262143,262143,175494,10226.3
131718,42877.9,3666.86,79.2768
235390,75698.3,1924.65,211.451
257175,89888.1,5774.76,227.091
131368,57771.2,6058.38,130.659
232964,187235,164137,8109.23
132138,47512.9,4826.69,118.516
262143,89074.1,10511.7,192.588
124656,41445.5,412.768,75.1188
111067,42677,3286.59,158.03
262143,262143,43480.3,705.891
8738.4,17468.2,475.688,-22.0841
151656,51604,4158.52,150.183
123554,50861.9,3342.49,51.2449
118920,71540.7,27298.7,74.9817
125232,35401.9,1490.81,134.184
262143,262143,12233.9,765.452
115546,57606.3,2723.75,133.936
241358,90108.8,5335.42,204.897
217003,125835,11915.6,144.84
262143,262143,131461,7400.83
262143,219362,124692,8731.19
6177.6,39253.6,9.36232,26.0768
131380,34227.6,2190.92,102.297
97723.1,33493.4,2112.99,136.772
124905,53242.6,2824.12,87.8406
10541.5,15813.7,140.159,61.4058
106613,31905.4,1257.3,35.3565
248925,120313,11611.8,151.064
262143,262143,22067.1,1425.47
215644,90483.9,5098.61,232.213
33902,241025,3669.62,823.141
109371,27421.9,1477.46,94.8348
194364,93223.7,5900.33,195.039
226718,259613,8262.8,457.129
262143,216966,51638.6,319.421
55750.6,67057.3,90848.9,6338.07
169418,58328.5,622.732,156.681
113505,40686,2135.3,60.029
241867,67188.9,3230.55,133.193
126521,43169.1,2996.91,75.642
37321.7,108984,577.573,235.875
119859,29915.7,7764.94,75.7798
26428.2,40477.2,828.015,98.8551
242559,103221,8537.88,273.159
121950,51733,2721.82,193.112
210551,107006,11362.1,226.623
262143,191992,85353,3894.83
209549,95623,3030.91,227.67
187056,99127.6,5432.21,234.498
240803,105160,6109.46,231.662
180762,151628,62126.6,3874.32
125037,51215.6,11686.4,43.2319
77039.6,99695.5,90711.4,4548.11
147890,55621.9,7903.45,7.40715
183027,79055.2,5187.69,152.716
71758.7,48108.8,1503.2,63.471
192501,68292.8,5251.57,152.275
11608.1,26109.2,972.304,571.157
134896,52678.6,3263.87,66.0044
169511,71164.3,4738.99,197.545
215953,136145,87767.3,8492.37
147961,65328.3,6929.08,188.403
262143,128966,5774.07,406.875
106142,45652.3,1218.48,51.2174
125671,30744.3,2736.14,76.5232
262143,168784,14953.3,318.346
183439,132124,3701.42,438.597
105889,30328,1283.88,102.132
213421,75818,3975.54,264.265
